timestamp,stk,run,timestamp_folder,sut_name,scenario,mode,samples_per_second,tokens_per_second,result,min_duration_satisfied,min_queries_satisfied,early_stopping_satisfied,min_latency_ns,max_latency_ns,mean_latency_ns,p50_ns,p90_ns,p95_ns,p97_ns,p99_ns,p99_9_ns,warnings,recommendations
2026-03-25_07-40-50,stk_00_baseline,run_1,2026-03-25_07-40-50,PySUT,Offline,PerformanceOnly,8.50816,1089.04,VALID,Yes,Yes,Yes,1972359240,1571197437559,785838845743,783923443980,1413794034085,1492231932560,1524520095379,1556550326943,1569688054179,,
2026-03-25_07-40-50,stk_01_fp8,run_1,2026-03-25_07-40-50,PySUT,Offline,PerformanceOnly,11.426,1462.53,VALID,Yes,Yes,Yes,1457151849,1169961510791,585141847199,583787846589,1052564354858,1111061674225,1135110537740,1158977483746,1168805184700,,
2026-03-25_07-40-50,stk_03_kv2668,run_1,2026-03-25_07-40-50,PySUT,Offline,PerformanceOnly,12.0647,1544.29,VALID,Yes,Yes,Yes,1388024567,1108023086662,552700800275,550273613730,995856622573,1051592613730,1074484047043,1097425433495,1106758586228,,
2026-03-25_07-40-50,stk_04_sort,run_1,2026-03-25_07-40-50,PySUT,Offline,PerformanceOnly,11.7807,1507.93,VALID,Yes,Yes,Yes,952438126,1134735207731,500665754741,472528198428,968399523393,1046308102108,1080443828104,1117143744891,1133078426531,,
2026-03-25_07-40-50,stk_05_gmu095,run_1,2026-03-25_07-40-50,PySUT,Offline,PerformanceOnly,11.7541,1504.52,VALID,Yes,Yes,Yes,991076118,1137307402419,502576896981,474870016082,971291089284,1049159277492,1083411525379,1119703739148,1135650229491,,
2026-03-25_07-40-50,stk_06_kvcache_fp8,run_1,2026-03-25_07-40-50,PySUT,Offline,PerformanceOnly,11.7204,1500.22,VALID,Yes,Yes,Yes,932395072,1140571438290,504465929016,477075900544,973788786348,1052118081997,1086450293322,1122675684109,1138915851751,,
2026-03-25_10-22-32,stk_07_compile3,run_1,2026-03-25_10-22-32,PySUT,Offline,PerformanceOnly,11.6787,1494.88,VALID,Yes,Yes,Yes,972960080,1144644787109,507134213509,480193919636,978335672729,1056368691130,1090445162928,1126891559767,1142989510645,,
2026-03-25_10-22-32,stk_08_expandable,run_1,2026-03-25_10-22-32,PySUT,Offline,PerformanceOnly,11.1,1420.8,VALID,Yes,Yes,Yes,927140807,1204325289568,521122295854,481805791705,1039571196294,1117013099692,1150775300106,1186758020946,1202673696274,,
2026-03-25_14-25-48,stk_09_bitsandbytes,run_1,2026-03-25_14-25-48,PySUT,Offline,PerformanceOnly,3.48547,446.14,VALID,Yes,Yes,Yes,3828112947,3835356058832,1810488321752,1764167798272,3366404933385,3593070064342,3688708340552,3787777461795,3830340433778,,
2026-03-25_15-37-16,stk_02_bs1024,run_1,2026-03-25_15-37-16,PySUT,Offline,PerformanceOnly,25.9513,3321.76,INVALID,NO,Yes,Yes,18220281109,515119668415,218393517365,191406898069,432814529687,509217466588,509217970346,509218465105,515119642983,"1 warning encountered. See detailed log.","Increase expected QPS so the loadgen pre-generates a larger (coalesced) query."
